Active	ID	Title	Severity	Liklihood	Remediation	Priority	Level
1	FLP04-C	Check floating-point inputs for exceptional values	Low	Probable	High	2	3
1	FLP05-C	Don&#39;t use denormalized numbers	Low	Probable	High	2	3
1	FLP06-C	Convert integers to floating point for floating-point operations	Low	Probable	Low	6	2
1	FLP07-C	Cast the return value of a function that returns a floating-point type	Low	Probable	Medium	4	3
1	FLP30-C	Do not use floating-point variables as loop counters	Low	Probable	Low	6	2
1	FLP32-C	Prevent or detect domain and range errors in math functions	Medium	Probable	Medium	8	2
1	FLP34-C	Ensure that floating-point conversions are within range of the new type	Low	Unlikely	Low	3	3
1	FLP36-C	Preserve precision when converting integral values to floating-point type	Low	Unlikely	Medium	2	3
1	INT00-C	Understand the data model used by your implementation(s)	High	Unlikely	High	3	3
1	INT01-C	Use rsize_t or size_t for all integer values representing the size of an object	Medium	Probable	Medium	8	2
1	INT02-C	Understand integer conversion rules	Medium	Probable	Medium	8	2
1	INT04-C	Enforce limits on integer values originating from tainted sources	Low	Probable	High	2	3
1	INT05-C	Do not use input functions to convert character data if they cannot handle all possible inputs	Medium	Probable	High	4	3
1	INT06-C	Use strtol() or a related function to convert a string token to an integer	Medium	Probable	Medium	8	2
0	INT07-C	Use only explicitly signed or unsigned char type for numeric values	Medium	Probable	Medium	8	2
1	INT08-C	Verify that all integer values are in range	Medium	Probable	High	4	3
1	INT09-C	Ensure enumeration constants map to unique values	Low	Probable	Medium	4	3
1	INT10-C	Do not assume a positive remainder when using the % operator	Low	Unlikely	High	1	3
1	INT12-C	Do not make assumptions about the type of a plain int bit-field when used in an expression	Low	Unlikely	Medium	2	3
0	INT13-C	Use bitwise operators only on unsigned operands	High	Unlikely	Medium	6	2
0	INT14-C	Avoid performing bitwise and arithmetic operations on the same data	Medium	Unlikely	Medium	4	3
1	INT15-C	Use intmax_t or uintmax_t for formatted IO on programmer-defined integer types	High	Unlikely	Medium	6	2
1	INT16-C	Do not make assumptions about representation of signed integers	Medium	Unlikely	High	2	3
1	INT17-C	Define integer constants in an implementation-independent manner	High	Probable	Low	18	1
1	INT18-C	Evaluate integer expressions in a larger size before comparing or assigning to that size	High	Likely	Medium	18	1
1	INT30-C	Ensure that unsigned integer operations do not wrap	High	Likely	High	9	2
1	INT31-C	Ensure that integer conversions do not result in lost or misinterpreted data	High	Probable	High	6	2
1	INT32-C	Ensure that operations on signed integers do not result in overflow	High	Likely	High	9	2
1	INT33-C	Ensure that division and remainder operations do not result in divide-by-zero errors	Low	Likely	Medium	6	2
1	INT34-C	Do not shift an expression by a negative number of bits or by greater than or equal to the number of bits that exist in the operand	Low	Unlikely	Medium	2	3
1	INT35-C	Use correct integer precisions	Low	Unlikely	Medium	2	3
1	INT36-C	Converting a pointer to integer or integer to pointer	Low	Probable	High	2	3
0	EXP00-C	Use parentheses for precedence of operation	Low	Probable	Medium	4	3
1	EXP02-C	Be aware of the short-circuit behavior of the logical AND and OR operators	Low	Unlikely	Medium	2	3
1	EXP03-C	Do not assume the size of a structure is the sum of the sizes of its members	Medium	Unlikely	High	2	3
1	EXP05-C	Do not cast away a const qualification	Medium	Probable	Medium	8	2
0	EXP07-C	Do not diminish the benefits of constants by assuming their values in expressions	Low	Unlikely	Medium	2	3
1	EXP08-C	Ensure pointer arithmetic is used correctly	High	Probable	High	6	2
1	EXP09-C	Use sizeof to determine the size of a type or variable	High	Unlikely	Medium	6	2
1	EXP10-C	Do not depend on the order of evaluation of subexpressions or the order in which side effects take place	Medium	Probable	Medium	8	2
1	EXP11-C	Do not make assumptions regarding the layout of structures with bit-fields	Medium	Probable	Medium	8	2
1	EXP12-C	Do not ignore values returned by functions	Medium	Unlikely	Medium	4	3
1	EXP13-C	Treat relational and equality operators as if they were nonassociative	Low	Unlikely	Medium	2	3
1	EXP14-C	Beware of integer promotion when performing bitwise operations on integer types smaller than int	Low	Likely	High	3	3
0	EXP15-C	Do not place a semicolon on the same line as an if, for, or while statement	High	Likely	Low	27	1
1	EXP16-C	Do not compare function pointers to constant values	Low	Likely	Medium	6	2
0	EXP19-C	Use braces for the body of an if, for, or while statement	Medium	Probable	Medium	8	2
0	EXP20-C	Perform explicit tests to determine success, true and false, and equality	Medium	Probable	Low	12	1
1	EXP21-C	Place constants on the left of equality comparisons	Low	Likely	Medium	6	2
1	EXP30-C	Do not depend on the order of evaluation for side effects	Medium	Probable	Medium	8	2
1	EXP32-C	Do not access a volatile object through a nonvolatile reference	Low	Likely	Medium	6	2
1	EXP33-C	Do not read uninitialized memory	High	Probable	Medium	12	1
1	EXP34-C	Do not dereference null pointers	High	Likely	Medium	18	1
1	EXP35-C	Do not modify objects with temporary lifetime	Low	Probable	Medium	4	3
1	EXP36-C	Do not cast pointers into more strictly aligned pointer types	Low	Probable	Medium	4	3
1	EXP37-C	Call functions with the correct number and type of arguments	Medium	Probable	High	4	3
1	EXP39-C	Do not access a variable through a pointer of an incompatible type	Medium	Unlikely	High	2	3
1	EXP40-C	Do not modify constant objects	Low	Unlikely	Medium	2	3
1	EXP42-C	Do not compare padding data	Medium	Probable	Medium	8	2
1	EXP43-C	Avoid undefined behavior when using restrict-qualified pointers	Medium	Probable	High	4	3
1	EXP44-C	Do not rely on side effects in operands to sizeof, _Alignof, or _Generic	Low	Unlikely	Low	3	3
1	EXP45-C	Do not perform assignments in selection statements	Low	Likely	Medium	6	2
0	DCL00-C	Const-qualify immutable objects	Low	Unlikely	High	1	3
0	DCL01-C	Do not reuse variable names in subscopes	Low	Unlikely	Medium	2	3
0	DCL02-C	Use visually distinct identifiers	Low	Unlikely	Medium	2	3
1	DCL03-C	Use a static assertion to test the value of a constant expression	Low	Unlikely	High	1	3
0	DCL04-C	Do not declare more than one variable per declaration	Low	Unlikely	Low	3	3
0	DCL05-C	Use typedefs of non-pointer types only	Low	Unlikely	Medium	2	3
0	DCL06-C	Use meaningful symbolic constants to represent literal values	Low	Unlikely	Medium	2	3
1	DCL07-C	Include the appropriate type information in function declarators	Low	Unlikely	Low	3	3
0	DCL08-C	Properly encode relationships in constant definitions	Low	Unlikely	High	1	3
1	DCL09-C	Declare functions that return errno with a return type of errno_t	Low	Unlikely	Low	3	3
1	DCL10-C	Maintain the contract between the writer and caller of variadic functions	High	Probable	High	6	2
1	DCL11-C	Understand the type issues associated with variadic functions	High	Probable	High	6	2
1	DCL12-C	Implement abstract data types using opaque types	Low	Unlikely	High	1	3
0	DCL13-C	Declare function parameters that are pointers to values not changed by the function as const	Low	Unlikely	Low	3	3
0	DCL15-C	Declare file-scope objects or functions that do not need external linkage as static	Low	Unlikely	Low	3	3
0	DCL16-C	Use &quot;L,&quot; not &quot;l,&quot; to indicate a long value	Low	Unlikely	Low	3	3
1	DCL17-C	Beware of miscompiled volatile-qualified variables	Medium	Probable	High	4	3
1	DCL18-C	Do not begin integer constants with 0 when specifying a decimal value	Low	Unlikely	Low	3	3
0	DCL19-C	Minimize the scope of variables and functions	Low	Unlikely	Medium	2	3
0	DCL20-C	Explicitly specify void when a function accepts no arguments	Medium	Probable	Low	12	1
1	DCL21-C	Understand the storage of compound literals	Low	Unlikely	Medium	2	3
1	DCL22-C	Use volatile for data that cannot be cached	Low	Probable	High	2	3
1	DCL23-C	Guarantee that mutually visible identifiers are unique	Medium	Unlikely	Low	6	2
1	DCL30-C	Declare objects with appropriate storage durations	High	Probable	High	6	2
1	DCL31-C	Declare identifiers before using them	Low	Unlikely	Low	3	3
1	DCL36-C	Do not declare an identifier with conflicting linkage classifications	Medium	Probable	Medium	8	2
1	DCL37-C	Do not declare or define a reserved identifier	Low	Unlikely	Low	3	3
1	DCL38-C	Use the correct syntax when declaring a flexible array member	Low	Unlikely	Low	3	3
1	DCL39-C	Avoid information leakage in structure padding	Low	Unlikely	High	1	3
1	DCL40-C	Do not create incompatible declarations of the same function or object	Low	Unlikely	Medium	2	3
1	DCL41-C	Do not declare variables inside a switch statement before the first case label	Medium	Unlikely	Medium	4	3
1	PRE00-C	Prefer inline or static functions to function-like macros	Medium	Unlikely	Medium	4	3
0	PRE01-C	Use parentheses within macros around parameter names	Medium	Probable	Low	12	1
0	PRE02-C	Macro replacement lists should be parenthesized	Medium	Probable	Low	12	1
0	PRE03-C	Prefer typedefs to defines for encoding types	Low	Unlikely	Medium	2	3
1	PRE04-C	Do not reuse a standard header file name	Low	Unlikely	Medium	2	3
1	PRE05-C	Understand macro replacement when concatenating tokens or performing stringification	Low	Unlikely	Medium	2	3
1	PRE06-C	Enclose header files in an inclusion guard	Low	Unlikely	Low	3	3
1	PRE07-C	Avoid using repeated question marks	Low	Unlikely	Medium	2	3
1	PRE08-C	Guarantee that header file names are unique	Low	Unlikely	Medium	2	3
1	PRE09-C	Do not replace secure functions with deprecated or obsolescent functions	High	Likely	Medium	18	1
1	PRE10-C	Wrap multistatement macros in a do-while loop	Medium	Probable	Low	12	1
1	PRE11-C	Do not conclude macro definitions with a semicolon	Medium	Probable	Low	12	1
1	PRE12-C	Do not define unsafe macros	Low	Probable	Low	6	2
1	PRE13-C	Use the Standard predefined macros to test for versions and features.	Low	Probable	Low	6	2
1	PRE30-C	Do not create a universal character name through concatenation	Low	Unlikely	Medium	2	3
1	PRE31-C	Avoid side effects in arguments to unsafe macros	Low	Unlikely	Low	3	3
1	PRE32-C	Do not use preprocessor directives in invocations of function-like macros	Low	Unlikely	Medium	2	3
1	CON50-CPP	Do not destroy a mutex while it is locked	Medium	Probable	High	4	3
1	CON51-CPP	Ensure actively held locks are released on exceptional conditions	Low	Probable	Low	6	2
1	CON52-CPP	Prevent data races when accessing bit-fields from multiple threads	Medium	Probable	Medium	8	2
1	CON53-CPP	Avoid deadlock by locking in a predefined order	Low	Probable	Medium	4	3
1	CON54-CPP	Wrap functions that can spuriously wake up in a loop	Low	Unlikely	Medium	2	3
1	CON55-CPP	Preserve thread safety and liveness when using condition variables	Low	Unlikely	Medium	2	3
1	CON56-CPP	Do not speculatively lock a non-recursive mutex that is already owned by the calling thread	Low	Unlikely	High	1	3
1	CTR50-CPP	Guarantee that container indices and iterators are within the valid range	High	Likely	High	9	2
1	CTR51-CPP	Use valid references, pointers, and iterators to reference elements of a container	High	Probable	High	6	2
1	CTR52-CPP	Guarantee that library functions do not overflow	High	Likely	Medium	18	1
1	CTR53-CPP	Use valid iterator ranges	High	Probable	High	6	2
1	CTR54-CPP	Do not subtract iterators that do not refer to the same container	Medium	Probable	Medium	8	2
1	CTR55-CPP	Do not use an additive operator on an iterator if the result would overflow	High	Likely	Medium	18	1
1	CTR56-CPP	Do not use pointer arithmetic on polymorphic objects	High	Likely	High	9	2
1	CTR57-CPP	Provide a valid ordering predicate	Low	Probable	High	2	3
1	CTR58-CPP	Predicate function objects should not be mutable	Low	Likely	High	3	3
1	DCL50-CPP	Do not define a C-style variadic function	High	Probable	Medium	12	1
1	DCL51-CPP	Do not declare or define a reserved identifier	Low	Unlikely	Low	3	3
1	DCL52-CPP	Never qualify a reference type with const or volatile	Low	Unlikely	Low	3	3
1	DCL53-CPP	Do not write syntactically ambiguous declarations	Low	Unlikely	Medium	2	3
1	DCL54-CPP	Overload allocation and deallocation functions as a pair in the same scope	Low	Probable	Low	6	2
1	DCL55-CPP	Avoid information leakage when passing a class object across a trust boundary	Low	Unlikely	High	1	3
1	DCL56-CPP	Avoid cycles during initialization of static objects	Low	Unlikely	Medium	2	3
1	DCL57-CPP	Do not let exceptions escape from destructors or deallocation functions	Low	Likely	Medium	6	2
1	DCL58-CPP	Do not modify the standard namespaces	High	Unlikely	Medium	6	2
1	DCL59-CPP	Do not define an unnamed namespace in a header file	Medium	Unlikely	Medium	4	3
1	DCL60-CPP	Obey the one-definition rule	High	Unlikely	High	3	3
1	ERR50-CPP	Do not abruptly terminate the program	Low	Probable	Medium	4	3
1	ERR51-CPP	Handle all exceptions	Low	Probable	Medium	4	3
1	ERR52-CPP	Do not use setjmp() or longjmp()	Low	Probable	Medium	4	3
